title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age,mileage_per_year,brand_frequency,model_frequency,price_band
Toyota Corolla CR 13.REG 1999.MODEL 1996,Toyota,Corolla,Automatic,"CNG, Octane",530000,1996,1500.0,89000,30,2966.6666666666665,0.8884228187919463,0.04848993288590604,Low
Toyota Corolla Cross 2023,Toyota,Corolla Cross,Automatic,"Hybrid, Octane",5500000,2025,1800.0,15500,1,15500.0,0.8884228187919463,0.07097315436241611,Luxury
Toyota RAV4 CR 13.REG 2011.MODEL 2005,Toyota,RAV4,Automatic,"Octane, LPG",1370000,2005,1800.0,87000,21,4142.857142857143,0.8884228187919463,0.009731543624161074,Low
Toyota Allion CR 23.REG 2010.MODEL 2004,Toyota,Allion,Automatic,"CNG, Octane",1350000,2004,1500.0,89000,22,4045.4545454545455,0.8884228187919463,0.03120805369127517,Low
Toyota Hiace 2015,Toyota,Hiace,Automatic,"CNG, Octane",2750000,2020,2000.0,190000,6,31666.666666666668,0.8884228187919463,0.09429530201342282,Medium
Toyota Premio F 2014,Toyota,Premio,Automatic,Octane,2480000,2014,1500.0,63000,12,5250.0,0.8884228187919463,0.05285234899328859,Medium
Toyota Axio EX 2020,Toyota,Axio,Automatic,Octane,2400000,2020,1500.0,50868,6,8478.0,0.8884228187919463,0.10939597315436242,Medium
Toyota Axio 2017,Toyota,Axio,Automatic,"Hybrid, Octane",2000000,2023,1500.0,86000,3,28666.666666666668,0.8884228187919463,0.10939597315436242,Low
Toyota Axio X 2013,Toyota,Axio,Automatic,Octane,1670000,2013,1500.0,64000,13,4923.076923076923,0.8884228187919463,0.10939597315436242,Low
Toyota Fielder G Edition Top Trim 2007,Toyota,Fielder,Automatic,Octane,1320000,2007,1500.0,290000,19,15263.157894736842,0.8884228187919463,0.057885906040268456,Low
Toyota Premio Super FreshCondition 2003,Toyota,Premio,Automatic,"CNG, Octane",1370000,2003,1500.0,98000,23,4260.869565217391,0.8884228187919463,0.05285234899328859,Low
Toyota Noah TownAce Only Octane 2011,Toyota,Noah,Automatic,Octane,750000,2011,1500.0,65000,15,4333.333333333333,0.8884228187919463,0.10671140939597315,Low
Toyota Probox GL 4-Door auto 2003,Toyota,Probox,Automatic,"CNG, Octane",730000,2003,1500.0,93000,23,4043.478260869565,0.8884228187919463,0.00436241610738255,Low
Toyota Allion Super FreshCondition 2006,Toyota,Allion,Automatic,"CNG, Octane",1580000,2006,1500.0,83000,20,4150.0,0.8884228187919463,0.03120805369127517,Low
Toyota Corolla X New Shape 2004,Toyota,Corolla,Automatic,Octane,1080000,2004,1500.0,140000,22,6363.636363636364,0.8884228187919463,0.04848993288590604,Low
Toyota Corolla 40th anniversary 2005,Toyota,Corolla,Automatic,"CNG, Octane",1295000,2005,1500.0,83000,21,3952.3809523809523,0.8884228187919463,0.04848993288590604,Low
